0 0
6 10.0115
8 2.5715
10 9.62256
12 42.8517
14 85.7349
16 106.514
18 105.872
20 103.021
22 91.2033
24 76.4691
26 60.7731
28 64.5484
30 104.437
32 137.78
34 143.201
36 141.254
38 153.367
40 165.045
42 174.378
44 187.991
46 188.024
48 177.861
50 182.125
52 191.452
54 184.751
56 165.002
58 154.225
60 169.282
62 192.65
64 198.092
66 196.721
68 198.787
70 208.102
72 213.603
74 219.246
76 226.269
78 231.682
80 229.481
82 221.229
84 217.478
86 217.996
88 217.731
90 222.078
92 230.509
94 230.722
96 226.15
98 227.106
100 223.24
102 210.222
104 197.602
106 188.101
108 176.184
110 161.915
112 150.416
114 147.013
116 148.872
118 148.957
120 152.417
122 162.467
124 170.689
126 168.048
128 155.097
130 132.621
132 105.991
134 85.1993
136 74.3239
138 79.7775
140 110.202
142 132.08
144 127.961
146 118.53
148 122.036
150 137.441
152 140.659
154 134.641
156 121.036
158 108.629
160 94.3717
162 72.7912
164 57.6993
166 62.2963
168 75.6515
170 86.45
172 83.8703
174 76.7236
176 61.1647
178 48.2457
180 43.4783
182 51.6999
184 62.4653
186 55.1323
188 40.0184
190 35.5979
192 38.1513
194 35.9818
196 26.6791
198 13.3872
200 -4.42455
202 -14.5725
204 -14.5694
206 -8.70946
208 1.44603
210 17.4707
212 39.7335
214 57.7235
216 66.1234
218 64.9418
220 58.0391
222 52.7517
224 49.2901
226 38.9242
228 27.6545
230 26.5999
232 30.7921
234 21.871
236 14.1971
238 14.4508
